Soil,Sample,Mass,Water_Volume,Wet_Mass,Dry_Mass
NativeMix,1,33.61,71.6,59.6,32.59
NativeMix,2,43.81,49.3,91.22,41.18
NativeMix,3,41.49,70.05,86.9,39.07
NativeMix,4,44.5,54.6,88.27,42.52
NativeMix,5,43.3,27.6,82.58,42.07
GardenMix,1,90.35,29.75,120.95,85.3
GardenMix,2,91.24,12.33,124.34,88.6
GardenMix,3,98.62,16.62,136.25,96.33
GardenMix,4,109.66,11.69,147.1,107.9
GardenMix,5,131.42,10.78,167.42,129.65
ProMixBx,1,36.76,30.62,79.77,33.2
ProMixBx,2,40.25,17.95,84.86,36.68
ProMixBx,3,40.67,12.41,98.31,38.03
ProMixBx,4,39.47,10.03,94.08,36.9
ProMixBx,5,40.22,29.47,101.03,38.25
ProMix55BK,1,28.88,35.9,94.24,27.46
ProMix55BK,2,30.4,25.41,80.56,29.2
ProMix55BK,3,30.89,19.3,99.18,29.06
ProMix55BK,4,31.19,30.53,78.51,28.55
ProMix55BK,5,32.42,22.1,94.8,30.3
