ID,Species,Soil,Breaking Point,Average Max Height,Clumps,Visual Quality,Most Rep,Root Quality Scale
17,Indiangrass,ProMix-55BK,19.5,41,1,2,,2
29,Indiangrass,ProMix-55BK,19.5,48.5,1,3,x,3
33,Indiangrass,ProMix-55BK,16.5,47.5,2,3,,4
50,Indiangrass,ProMix-55BK,19,37,2,3,,3
54,Indiangrass,ProMix-55BK,19.5,39.5,3,4,,4
4,Indiangrass,A1,17,34.5,3,2,,3
8,Indiangrass,A1,15,39,3,2,,2
38,Indiangrass,A1,25.5,46.5,1,3,,4
39,Indiangrass,A1,16.5,33.5,2,2,x,2
48,Indiangrass,A1,4.5,6.5,1,1,,1
12,Indiangrass,B1,17.5,51.5,3,3,,3
28,Indiangrass,B1,15,35,1,2,,2
31,Indiangrass,B1,21.5,52,3,4,,4
45,Indiangrass,B1,16,48,2,3,x,3
57,Indiangrass,B1,13.5,37.5,3,3,,3
5,Indiangrass,ProMix-Bx,18,61.5,3,4,,4
10,Indiangrass,ProMix-Bx,16.5,56.5,2,4,,4
21,Indiangrass,ProMix-Bx,19.5,61.5,3,4,,4
32,Indiangrass,ProMix-Bx,19.5,54.5,2,4,x,4
52,Indiangrass,ProMix-Bx,17.5,41,2,3,,3
2,Sugarcane,ProMix-55BK,40.5,68.5,2,3,,4
16,Sugarcane,ProMix-55BK,46.5,72.5,2,3,,4
30,Sugarcane,ProMix-55BK,49.5,69,3,3,,4
40,Sugarcane,ProMix-55BK,46.5,63.5,2,3,x,4
60,Sugarcane,ProMix-55BK,32,61.5,2,2,,3
6,Sugarcane,A1,36.5,69.5,5,3,,4
24,Sugarcane,A1,46.5,59.5,2,2,,3
25,Sugarcane,A1,41,73.5,3,3,,4
42,Sugarcane,A1,41.5,59.5,4,3,x,4
53,Sugarcane,A1,33.5,56.5,2,2,,3
13,Sugarcane,B1,46.5,92.5,1,4,,4
18,Sugarcane,B1,49.5,73.5,2,3,,4
41,Sugarcane,B1,36.5,58.5,1,2,,3
49,Sugarcane,B1,33.5,49.5,1,2,,3
59,Sugarcane,B1,49.5,69.5,2,3,x,4
9,Sugarcane,ProMix-Bx,59.5,73.5,4,3,,4
19,Sugarcane,ProMix-Bx,55.5,87.5,2,4,x,4
37,Sugarcane,ProMix-Bx,46.5,89.5,2,4,,4
43,Sugarcane,ProMix-Bx,54.5,88.5,2,3,,4
51,Sugarcane,ProMix-Bx,49.5,84.5,2,4,,4
1,Wiregrass,ProMix-55BK,22,41.5,2,3,x,2
26,Wiregrass,ProMix-55BK,15.5,38.5,2,4,,2
27,Wiregrass,ProMix-55BK,17.5,34.5,2,3,,2
44,Wiregrass,ProMix-55BK,24.5,44.5,1,4,,3
58,Wiregrass,ProMix-55BK,9.5,16.5,1,1,,1
14,Wiregrass,A1,17.5,41,2,3,,2
15,Wiregrass,A1,21.5,31.5,2,3,,2
34,Wiregrass,A1,10.5,23.5,2,2,,1
36,Wiregrass,A1,13.5,33,1,3,x,1
56,Wiregrass,A1,14,19.5,1,1,,1
3,Wiregrass,B1,23.5,43,3,4,,2
7,Wiregrass,B1,18.5,39,2,3,,3
22,Wiregrass,B1,18.2,38.5,3,3,x,2
35,Wiregrass,B1,30,50,2,3,,3
47,Wiregrass,B1,14,24.5,2,2,,1
11,Wiregrass,ProMix-Bx,28.5,47.5,2,4,,4
20,Wiregrass,ProMix-Bx,22.5,48.5,3,4,,3
23,Wiregrass,ProMix-Bx,15.5,28.5,1,2,,1
46,Wiregrass,ProMix-Bx,16.5,28.5,1,2,x,2
55,Wiregrass,ProMix-Bx,9.5,19.5,1,1,,1
