ID,Species,Soil,Shoot Weight,Root Weight
1,Wiregrass,ProMix-55BK,0.72,0.2
2,Sugarcane,ProMix-55BK,9.69,14.4
3,Wiregrass,B1,1.5,0.42
4,Indiangrass,A1,0.95,1.23
5,Indiangrass,ProMix-Bx,5.22,5.2
6,Sugarcane,A1,7.39,26.86
7,Wiregrass,B1,0.54,0.48
8,Indiangrass,A1,0.89,0.54
9,Sugarcane,ProMix-Bx,11.52,24.22
10,Indiangrass,ProMix-Bx,5.51,3.48
11,Wiregrass,ProMix-Bx,3.1,1.39
12,Indiangrass,B1,2.7,3.18
13,Sugarcane,B1,16.21,26.94
14,Wiregrass,A1,0.59,0.24
15,Wiregrass,A1,0.37,0.2
16,Sugarcane,ProMix-55BK,9.03,13.89
17,Indiangrass,ProMix-55BK,0.65,0.32
18,Sugarcane,B1,8.47,16.89
19,Sugarcane,ProMix-Bx,17.9,34.41
20,Wiregrass,ProMix-Bx,2.24,0.585
21,Indiangrass,ProMix-Bx,8.03,12.56
22,Wiregrass,B1,0.76,0.32
23,Wiregrass,ProMix-Bx,0.265,0.07
24,Sugarcane,A1,2.21,3.9
25,Sugarcane,A1,4.96,8.51
26,Wiregrass,ProMix-55BK,1.17,0.39
27,Wiregrass,ProMix-55BK,0.645,0.245
28,Indiangrass,B1,0.9,0.58
29,Indiangrass,ProMix-55BK,2.18,0.98
30,Sugarcane,ProMix-55BK,8.29,7.93
31,Indiangrass,B1,3.88,18.55
32,Indiangrass,ProMix-Bx,5.53,6.18
33,Indiangrass,ProMix-55BK,1.99,1.11
34,Wiregrass,A1,0.25,0.11
35,Wiregrass,B1,1.63,0.47
36,Wiregrass,A1,0.45,0.13
37,Sugarcane,ProMix-Bx,15.26,35.05
38,Indiangrass,A1,3.42,8.39
39,Indiangrass,A1,0.67,0.27
40,Sugarcane,ProMix-55BK,5.69,5.52
41,Sugarcane,B1,5.98,2.41
42,Sugarcane,A1,6.1,18.55
43,Sugarcane,ProMix-Bx,11.69,20.21
44,Wiregrass,ProMix-55BK,1.255,0.36
45,Indiangrass,B1,2.17,3.6
46,Wiregrass,ProMix-Bx,0.25,0.11
47,Wiregrass,B1,0.3,0.1
48,Indiangrass,A1,0.01,0.03
49,Sugarcane,B1,3.09,2.75
50,Indiangrass,ProMix-55BK,1.08,0.72
51,Sugarcane,ProMix-Bx,12.4,33.1
52,Indiangrass,ProMix-Bx,1.7,0.85
53,Sugarcane,A1,2.33,2.56
54,Indiangrass,ProMix-55BK,2.79,2.78
55,Wiregrass,ProMix-Bx,0.155,0.02
56,Wiregrass,A1,0.12,0.06
57,Indiangrass,B1,2.54,2.24
58,Wiregrass,ProMix-55BK,0.06,0.02
59,Sugarcane,B1,8.37,19.73
60,Sugarcane,ProMix-55BK,4.2,4.44
