"","Species.Soil.diff","Species.Soil.lwr","Species.Soil.upr","Species.Soil.p.adj"
"Sugarcane:ProMix55BK-Indiangrass:ProMix55BK",24.1999999999999,12.1753527141945,36.2246472858054,6.34549463418566e-07
"Wiregrass:ProMix55BK-Indiangrass:ProMix55BK",-1.00000000000002,-13.0246472858055,11.0246472858054,0.999999990419336
"Indiangrass:NativeMix-Indiangrass:ProMix55BK",-3.10000000000002,-15.1246472858054,8.92464728580542,0.998985762254946
"Sugarcane:NativeMix-Indiangrass:ProMix55BK",21,8.97535271419453,33.0246472858054,1.54632343905003e-05
"Wiregrass:NativeMix-Indiangrass:ProMix55BK",-3.40000000000001,-15.4246472858054,8.62464728580542,0.997679254123988
"Indiangrass:GardenMix-Indiangrass:ProMix55BK",-2.10000000000002,-14.1246472858055,9.92464728580541,0.99997648489738
"Sugarcane:GardenMix-Indiangrass:ProMix55BK",24.3,12.2753527141945,36.3246472858054,5.7408479792187e-07
"Wiregrass:GardenMix-Indiangrass:ProMix55BK",2.03999999999998,-9.98464728580545,14.0646472858054,0.999982463564323
"Indiangrass:ProMixBx-Indiangrass:ProMix55BK",-0.600000000000012,-12.6246472858054,11.4246472858054,0.999999999962834
"Sugarcane:ProMixBx-Indiangrass:ProMix55BK",34.3,22.2753527141945,46.3246472858054,2.95037327902037e-11
"Wiregrass:ProMixBx-Indiangrass:ProMix55BK",-0.300000000000015,-12.3246472858054,11.7246472858054,1
"Wiregrass:ProMix55BK-Sugarcane:ProMix55BK",-25.2,-37.2246472858054,-13.1753527141945,2.33189704879067e-07
"Indiangrass:NativeMix-Sugarcane:ProMix55BK",-27.3,-39.3246472858054,-15.2753527141945,2.87047248193062e-08
"Sugarcane:NativeMix-Sugarcane:ProMix55BK",-3.19999999999999,-15.2246472858054,8.82464728580544,0.998647250481679
"Wiregrass:NativeMix-Sugarcane:ProMix55BK",-27.6,-39.6246472858054,-15.5753527141945,2.13102906432283e-08
"Indiangrass:GardenMix-Sugarcane:ProMix55BK",-26.3,-38.3246472858054,-14.2753527141945,7.76928680279454e-08
"Sugarcane:GardenMix-Sugarcane:ProMix55BK",0.100000000000009,-11.9246472858054,12.1246472858054,1
"Wiregrass:GardenMix-Sugarcane:ProMix55BK",-22.16,-34.1846472858054,-10.1353527141945,4.88062830683589e-06
"Indiangrass:ProMixBx-Sugarcane:ProMix55BK",-24.8,-36.8246472858054,-12.7753527141945,3.47984474458052e-07
"Sugarcane:ProMixBx-Sugarcane:ProMix55BK",10.1,-1.92464728580542,22.1246472858054,0.17939618869642
"Wiregrass:ProMixBx-Sugarcane:ProMix55BK",-24.5,-36.5246472858054,-12.4753527141945,4.69895253818464e-07
"Indiangrass:NativeMix-Wiregrass:ProMix55BK",-2.1,-14.1246472858054,9.92464728580543,0.99997648489738
"Sugarcane:NativeMix-Wiregrass:ProMix55BK",22,9.97535271419455,34.0246472858054,5.72460593262214e-06
"Wiregrass:NativeMix-Wiregrass:ProMix55BK",-2.4,-14.4246472858054,9.62464728580544,0.999910968996805
"Indiangrass:GardenMix-Wiregrass:ProMix55BK",-1.1,-13.1246472858054,10.9246472858054,0.999999973266906
"Sugarcane:GardenMix-Wiregrass:ProMix55BK",25.3,13.2753527141945,37.3246472858054,2.10991142224337e-07
"Wiregrass:GardenMix-Wiregrass:ProMix55BK",3.04,-8.98464728580543,15.0646472858054,0.999152000749971
"Indiangrass:ProMixBx-Wiregrass:ProMix55BK",0.400000000000006,-11.6246472858054,12.4246472858054,1
"Sugarcane:ProMixBx-Wiregrass:ProMix55BK",35.3,23.2753527141945,47.3246472858054,9.85012071907931e-12
"Wiregrass:ProMixBx-Wiregrass:ProMix55BK",0.700000000000003,-11.3246472858054,12.7246472858054,0.999999999800035
"Sugarcane:NativeMix-Indiangrass:NativeMix",24.1,12.0753527141945,36.1246472858054,7.01382857792865e-07
"Wiregrass:NativeMix-Indiangrass:NativeMix",-0.299999999999995,-12.3246472858054,11.7246472858054,1
"Indiangrass:GardenMix-Indiangrass:NativeMix",0.999999999999998,-11.0246472858054,13.0246472858054,0.999999990419336
"Sugarcane:GardenMix-Indiangrass:NativeMix",27.4,15.3753527141945,39.4246472858054,2.59903196742073e-08
"Wiregrass:GardenMix-Indiangrass:NativeMix",5.14,-6.88464728580543,17.1646472858054,0.942150663873993
"Indiangrass:ProMixBx-Indiangrass:NativeMix",2.50000000000001,-9.52464728580543,14.5246472858054,0.9998672368296
"Sugarcane:ProMixBx-Indiangrass:NativeMix",37.4,25.3753527141945,49.4246472858054,0
"Wiregrass:ProMixBx-Indiangrass:NativeMix",2.8,-9.22464728580543,14.8246472858054,0.999606017984624
"Wiregrass:NativeMix-Sugarcane:NativeMix",-24.4,-36.4246472858054,-12.3753527141945,5.19382901353893e-07
"Indiangrass:GardenMix-Sugarcane:NativeMix",-23.1,-35.1246472858054,-11.0753527141945,1.90844792102851e-06
"Sugarcane:GardenMix-Sugarcane:NativeMix",3.3,-8.72464728580544,15.3246472858054,0.998217829754749
"Wiregrass:GardenMix-Sugarcane:NativeMix",-18.96,-30.9846472858054,-6.93535271419455,0.000114306453755875
"Indiangrass:ProMixBx-Sugarcane:NativeMix",-21.6,-33.6246472858054,-9.57535271419454,8.52470377665782e-06
"Sugarcane:ProMixBx-Sugarcane:NativeMix",13.3,1.27535271419456,25.3246472858054,0.0187811369904598
"Wiregrass:ProMixBx-Sugarcane:NativeMix",-21.3,-33.3246472858054,-9.27535271419454,1.14846895077347e-05
"Indiangrass:GardenMix-Wiregrass:NativeMix",1.29999999999999,-10.7246472858054,13.3246472858054,0.999999840379186
"Sugarcane:GardenMix-Wiregrass:NativeMix",27.7,15.6753527141945,39.7246472858054,1.92978873991834e-08
"Wiregrass:GardenMix-Wiregrass:NativeMix",5.43999999999999,-6.58464728580544,17.4646472858054,0.91694026915808
"Indiangrass:ProMixBx-Wiregrass:NativeMix",2.8,-9.22464728580543,14.8246472858054,0.999606017984624
"Sugarcane:ProMixBx-Wiregrass:NativeMix",37.7,25.6753527141945,49.7246472858054,0
"Wiregrass:ProMixBx-Wiregrass:NativeMix",3.1,-8.92464728580543,15.1246472858054,0.998985762254946
"Sugarcane:GardenMix-Indiangrass:GardenMix",26.4,14.3753527141945,38.4246472858054,7.03175053740068e-08
"Wiregrass:GardenMix-Indiangrass:GardenMix",4.14,-7.88464728580543,16.1646472858054,0.987967629045754
"Indiangrass:ProMixBx-Indiangrass:GardenMix",1.50000000000001,-10.5246472858054,13.5246472858054,0.999999273619263
"Sugarcane:ProMixBx-Indiangrass:GardenMix",36.4,24.3753527141945,48.4246472858054,1.73105973999554e-12
"Wiregrass:ProMixBx-Indiangrass:GardenMix",1.8,-10.2246472858054,13.8246472858054,0.999995132164459
"Wiregrass:GardenMix-Sugarcane:GardenMix",-22.26,-34.2846472858054,-10.2353527141945,4.41730373634819e-06
"Indiangrass:ProMixBx-Sugarcane:GardenMix",-24.9,-36.9246472858054,-12.8753527141945,3.1483874107785e-07
"Sugarcane:ProMixBx-Sugarcane:GardenMix",10,-2.02464728580543,22.0246472858054,0.190197130341951
"Wiregrass:ProMixBx-Sugarcane:GardenMix",-24.6,-36.6246472858054,-12.5753527141945,4.25125404879267e-07
"Indiangrass:ProMixBx-Wiregrass:GardenMix",-2.63999999999999,-14.6646472858054,9.38464728580544,0.999775083588897
"Sugarcane:ProMixBx-Wiregrass:GardenMix",32.26,20.2353527141945,44.2846472858054,2.21758389429283e-10
"Wiregrass:ProMixBx-Wiregrass:GardenMix",-2.34,-14.3646472858054,9.68464728580544,0.999930640397877
"Sugarcane:ProMixBx-Indiangrass:ProMixBx",34.9,22.8753527141945,46.9246472858054,1.55810919721944e-11
"Wiregrass:ProMixBx-Indiangrass:ProMixBx",0.299999999999997,-11.7246472858054,12.3246472858054,1
"Wiregrass:ProMixBx-Sugarcane:ProMixBx",-34.6,-46.6246472858054,-22.5753527141945,2.15589768259861e-11
