coreid,abcd:typifiedName,aec:associatedTaxa,ala:photographer,ala:species,ala:subfamily,ala:subspecies,ala:superfamily,chrono:ChronometricAge,dc:language,dc:rights,dc:type,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedOrganisms,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:classs,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genericName,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:identifiedByID,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:language,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:modified,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:organismRemarks,dwc:originalNameUsage,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:recordedByID,dwc:relatedResourceID,dwc:relationshipOfResource,dwc:relationshipRemarks,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:sampleSizeValue,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonConceptID,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimIdentification,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,flag_encoding_error,gbif:Identifier,gbif:Reference,gbif:identifiedByID,gbif:recordedByID,idigbio:recordId,obis:ExtendedMeasurementOrFact,symbiota:recordEnteredBy,symbiota:recordID,symbiota:verbatimScientificName,taxonRankID,zan:ChronometricDate
905e4276-c624-4fff-86b5-83ded35dbcb1,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""B5D02F38-1EE4-474E-9A8D-159CA204F770"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:158717"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,158717,,,Herb,,,,,USA,,Holmes Co.,,,,Mar 1986,28,30.6167,-86.1667,,,,,,,,,,1981-09-28,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,Upland forest on a slope.,Plantae | Monocots | Poaceae,USA | Florida | Holmes Co.,,,70411,,,,,S. L. Hatch,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"Along US 90, ca. 5 mi. W of Ponce de Leon; 2 mi. E of the Walton County line. T3N, R18W, Sec. 36, NW¼ of NW¼.",,,,,,,,,,,,9,,,,,,ICN,,,B5D02F38-1EE4-474E-9A8D-159CA204F770,,,,,,,,,,,,,Monocots,,,,8910,B. F. Hansen,,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,"Along US 90, ca. 5 mi. W of Ponce de Leon; 2 mi. E of the Walton County line. T3N, R18W, Sec. 36, NW¼ of NW¼.",,,,,,1981,,,,,,,,,,,,
e74ea94b-3b84-45e6-ab9e-d903d1d6ebbe,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""9D876F56-8A8B-4C79-9C7F-E8A9518DFFBF"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:119724"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,119724,,,Herb,,,,,USA,,Brevard Co.,,,,Mar 1986,24,,,,,,,,,,,,1972-09-24,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,"Ruderal, roadside; full sun; sandy soil.",Plantae | Monocots | Poaceae,USA | Florida | Brevard Co.,,,70437,,,,,S. L. Hatch,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"North Merritt Island on Happy Creek Road. T21S, R36E, Sec. 36, S½.",,,,,,,,,,,,9,,,,,,ICN,,,9D876F56-8A8B-4C79-9C7F-E8A9518DFFBF,,,,,,,,,,,,,Monocots,,,,M0220,A.G. Shuey,,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,"North Merritt Island on Happy Creek Road. T21S, R36E, Sec. 36, S½.",,,,,,1972,,,,,,,,,,,,
3e2a8214-e667-4d38-9189-593b88d68036,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""660C10EB-A5A9-4F7C-BDD5-F3A788151513"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:259420"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,259420,,,Herb,,,,,USA,,Martin Co.,,,,,,27.75,-82.1333,,,,,,,,,,1988-07,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,Pine flatwoods.,Plantae | Monocots | Poaceae,USA | Florida | Martin Co.,,,98707,,,,,,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"Jonathan Dickinson State Park, E of picnic area.",,,,,,,,,,,,7,Jonathan Dickinson State Park,,,,,ICN,,,660C10EB-A5A9-4F7C-BDD5-F3A788151513,,,,,,,,,,,,,Monocots,,,,s.n.,"R. O. Woodbury, R. Roberts",,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,E of picnic area.,,,,,,1988,,,,,,,,,,,,
8fa84916-76c0-41b4-bbe5-7986d49dc9c2,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""A048C797-8BB8-44E1-B0DC-4ED5AB08B535"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:221208"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,221208,,,Herb,,,,,USA,,Hillsborough Co.,,,,,02,28.1511,-82.4615,,,,,,,,,,1994-10-02,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,Pine flatwoods.,Plantae | Monocots | Poaceae,USA | Florida | Hillsborough Co.,,,70484,,,,,,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"Flatwoods [County] Park, 2.5 mi. (sld) NW of Morris Bridge; ca. 7 mi. E of Lutz. T27S, R20E, Sec. 19, NE¼.",,,,,,,,,,,,10,Flatwoods [County] Park,,,,,ICN,,,A048C797-8BB8-44E1-B0DC-4ED5AB08B535,,,,,,,,,,,,,Monocots,,,,10585,R. P. Wunderlin,,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,"2.5 mi. (sld) NW of Morris Bridge; ca. 7 mi. E of Lutz. T27S, R20E, Sec. 19, NE¼.",,,,,,1994,,,,,,,,,,,,
36a9a650-07d6-49c6-a75b-0c1d8681e84e,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""CF33C4B3-E486-4C12-B82E-99663134EF95"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:134559"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,134559,,,Herb,,,,,USA,,Hillsborough Co.,,,,Mar 1986,27,28.1254,-82.4368,,,,,,,,,,1977-09-27,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,Pine flatwoods.,Plantae | Monocots | Poaceae,USA | Florida | Hillsborough Co.,,,70500,,,,,S. L. Hatch,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"Off Livingston Avenue, N of Clements Road.",,,,,,,,,,,,9,,,,,,ICN,,,CF33C4B3-E486-4C12-B82E-99663134EF95,,,,,,,,,,,,,Monocots,,,,160,S. Mortellaro,,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,"Off Livingston Avenue, N of Clements Road.",,,,,,1977,,,,,,,,,,,,
01f06dc4-3728-41c8-8633-4db45b7eb4e4,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""14EFAFAC-917D-4832-A061-C8571308DA74"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:14923"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,14923,,,Herb,,,,,USA,,Hernando Co.,,,,Mar 1986,14,28.5553,-82.3879,,"{""habit"":""Common; inflorescence nodding, secund.""}",,,,,,,,1959-10-14,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,Grassy roadside with open pine overstory.,Plantae | Monocots | Poaceae,USA | Florida | Hernando Co.,,,70401,,,,,S. L. Hatch,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"Along US 41, 4 mi. N of Brooksville.",,,,,,,,,,,,10,,,,,,ICN,,,14EFAFAC-917D-4832-A061-C8571308DA74,,,,,,,,,,,,,Monocots,,,,9487,"J. D. Ray, Jr.",,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,"Along US 41, 4 mi. N of Brooksville.",,,,,,1959,,,,,,,,,,,,
437eb0f2-05d0-4a51-bc84-a4c3765d4222,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""C7963320-6BAB-42B1-A27D-90FEA7535F66"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:134549"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,134549,,,Herb,,,,,USA,,Hillsborough Co.,,,,Mar 1986,29,28,-82,,,,,,,,,,1977-10-29,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,Pinelands.,Plantae | Monocots | Poaceae,USA | Florida | Hillsborough Co.,,,70502,,,,,S. L. Hatch,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"University of South Florida Ecological Research Area, Near the gate.",,,,,,,,,,,,10,University of South Florida Ecological Research Area,,,,,ICN,,,C7963320-6BAB-42B1-A27D-90FEA7535F66,,,,,,,,,,,,,Monocots,,,,9,G. Winkler,,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,Near the gate.,,,,,,1977,,,,,,,,,,,,
13322b16-0b9a-49ce-8bfe-c827ea2b6766,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""E7AA8EB9-617E-403F-A057-990FA7B006D2"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:290049"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,290049,,,Herb,,,,,USA,,Collier Co.,,,,,30,26.2109,-81.8068,,,,,,,,,,1990-09-30,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,Disturbed scrub.,Plantae | Monocots | Poaceae,USA | Florida | Collier Co.,,,237560,,,,,J. N. Burch,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"Marco Island, S of Marco Lake Drive.  T52S, R25E, Sec. 16.",,,,,,,,,,,,9,,,,,,ICN,,,E7AA8EB9-617E-403F-A057-990FA7B006D2,,,,,,,,,,,,,Monocots,,,,23,J. N. Burch,,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,"Marco Island, S of Marco Lake Drive.  T52S, R25E, Sec. 16.",,,,,,1990,,,,,,,,,,,,
a22090f4-a59a-4648-92ed-cb4fb02b1093,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""850B9D49-DF89-42C5-993D-1C0D76663905"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:42932"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,42932,,,Herb,,,,,USA,,St. Johns Co.,,,,Mar 1986,18,29.718,-81.5081,,"{""habit"":""1.5 m tall; frequent.""}",,,,,,,,1960-10-18,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,In moist soil.,Plantae | Monocots | Poaceae,USA | Florida | St. Johns Co.,,,70422,,,,,S. L. Hatch,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"Between road and the rail road on the N side of Hastings. T9S, R28E, Sec. 8.",,,,,,,,,,,,10,,,,,,ICN,,,850B9D49-DF89-42C5-993D-1C0D76663905,,,,,,,,,,,,,Monocots,,,,2304,"D. B. Ward, S.S. Ward",,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,"Between road and the rail road on the N side of Hastings. T9S, R28E, Sec. 8.",,,,,,1960,,,,,,,,,,,,
03bf54e6-2cef-4d7d-bff1-5d4b9356c023,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""D747D0F5-B89D-49E0-A3F6-D72B18C19044"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:249169"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,249169,,,Herb,,,,,USA,,DeSoto Co.,,,,,29,27.0333,-82,,,,,,,,,,2008-09-29,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,Mesic flatwoods trail.,Plantae | Monocots | Poaceae,USA | Florida | DeSoto Co.,,,70442,,,,,,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"Deep Creek Preserve, Along a trail in ca. 900 ha on the W side of the Peace River, ca. 4.5 km NE of the I-75 and Kings Highway (C-769) junction.",,,,,,,,,,,,9,Deep Creek Preserve,,,,,ICN,,,D747D0F5-B89D-49E0-A3F6-D72B18C19044,,,,,,,,,,,,,Monocots,,,,1002,A. R. Franck,,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,"Along a trail in ca. 900 ha on the W side of the Peace River, ca. 4.5 km NE of the I-75 and Kings Highway (C-769) junction.",,,,,,2008,,,,,,,,,,,,
ce0e39b1-322b-4695-8a69-7038bba8a232,,,,,,,,,,,,,,en,,,,,,,PhysicalObject,,,"[{""coreid"": ""98903F57-35E0-4FFB-8166-6EBA13523BF5"", ""dwc:relatedResourceID"": ""urn:catalog:USF:Herb:113325"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,113325,,,Herb,,,,,USA,,Hillsborough Co.,,,,Mar 1986,02,28,-82,,,,,,,,,,1974-10-02,,,,Poaceae,,,,,,,,Sorghastrum,,,,,,,,,,Growing in disturbed sandhill vegetation.,Plantae | Monocots | Poaceae,USA | Florida | Hillsborough Co.,,,70496,,,,,S. L. Hatch,,,,,USF,urn:lsid:biocol.org:col:15638,,,Plantae,,,,,,,,,"Near the intersection of 30th Street [Bruce B. Downs Boulevard] and Skipper Road, N of the University of South Florida.",,,,,,,,,,,,10,,,,,,ICN,,,98903F57-35E0-4FFB-8166-6EBA13523BF5,,,,,,,,,,,,,Monocots,,,,s.n.,"R. A. Hilsenbeck, J.E. Poppleton",,,,,Fertile,,,,,,Sorghastrum secundum,(Elliott) Nash,,,secundum,,Florida,,,,species,,,,,,,,,,,"Near the intersection of 30th Street [Bruce B. Downs Boulevard] and Skipper Road, N of the University of South Florida.",,,,,,1974,,,,,,,,,,,,
